label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
;Lorentzian;342.83109830632253;345.13789148228784;2.7035947899485047;;;
Peak IV;Lorentzian;685.6273836434019;93.60862690150307;7.033997094506517;;;
Peak II;Lorentzian;515.1733160387618;51.36678077936202;103.91720161673588;;;
;Lorentzian;302.674115235547;115.07269150417919;24.426668296135247;;;
;Lorentzian;250.70242367640617;20.320894046791715;14.425094614597278;;;
Peak I;Lorentzian;383.5709492174337;18.609985455260716;16.003041170327904;;;
Peak III;Lorentzian;618.5651570562305;34.31023907722377;13.44498940215393;;;
;Lorentzian;650.9251655389407;33.64873872471214;6.207989422512239;;;
;Lorentzian;419.87712836367336;12.014516689966054;52.789521626594826;;;
